"Category";"SOLAR";"EOLICA";"PCH"
"2021-02-10";157,85591200000007;0;0,7
"2021-02-11";158,52353200000007;0;0,7
"2021-02-12";158,59113200000007;0;0,7
"2021-02-13";158,67618200000007;0;0,7
"2021-02-14";158,67963200000005;0;0,7
"2021-02-15";158,80625200000006;0;0,7
"2021-02-16";158,83158200000005;0;0,7
"2021-02-17";158,86640200000005;0;0,7
"2021-02-18";159,54156200000006;0;0,7
"2021-02-19";159,55806200000006;0;0,7
"2021-02-20";159,56186200000008;0;0,7
"2021-02-21";159,57186200000007;0;0,7
"2021-02-22";159,69417200000007;0;0,7
"2021-02-23";159,75986200000006;0;0,7
"2021-02-24";159,84717200000006;0;0,7
"2021-02-25";159,87829200000004;0;0,7
"2021-02-26";159,99687200000005;0;0,7
"2021-02-27";160,01787200000004;0;0,7
"2021-02-28";160,02117200000004;0;0,7
"2021-03-02";160,04079200000004;0;0,7
"2021-03-03";160,21636200000003;0;0,7
"2021-03-04";160,34816200000003;0;0,7
"2021-03-05";160,55416200000002;0;0,7
"2021-03-08";160,586532;0;0,7
"2021-03-09";160,629242;0;0,7
"2021-03-10";160,664492;0;0,7
"2021-03-11";160,709362;0;0,7
"2021-03-12";160,746222;0;0,7
"2021-03-13";160,770322;0;0,7
"2021-03-15";160,835592;0;0,7
"2021-03-16";160,885592;0;0,7
"2021-03-17";160,976587;0;0,7
"2021-03-18";160,99338699999998;0;0,7
"2021-03-19";161,07611699999998;0;0,7
"2021-03-23";163,101117;0;0,7
"2021-03-24";163,16760699999998;0;0,7
"2021-03-25";163,43307699999997;0;0,7
"2021-03-26";163,48376699999997;0;0,7
"2021-03-27";163,55136699999997;0;0,7
"2021-03-29";163,61416699999998;0;0,7
"2021-03-30";163,629317;0;0,7
"2021-03-31";163,658277;0;0,7
"2021-04-02";163,663947;0;0,7
"2021-04-05";163,698847;0;0,7
"2021-04-06";163,826847;0;0,7
"2021-04-07";163,830447;0;0,7
"2021-04-08";163,870247;0;0,7
"2021-04-09";163,909257;0;0,7
"2021-04-10";163,91225699999998;0;0,7
"2021-04-11";163,926257;0;0,7
"2021-04-12";164,036557;0;0,7
"2021-04-13";164,11380699999998;0;0,7
"2021-04-14";164,30265699999998;0;0,7
"2021-04-15";164,379587;0;0,7
"2021-04-16";164,482757;0;0,7
"2021-04-17";164,500757;0;0,7
"2021-04-19";164,535317;0;0,7
"2021-04-20";164,571147;0;0,7
"2021-04-21";164,635147;0;0,7
"2021-04-22";164,686827;0;0,7
"2021-04-23";165,025677;0;0,7
"2021-04-24";165,030677;0;0,7
"2021-04-25";165,031877;0;0,7
"2021-04-26";165,081817;0;0,7
"2021-04-27";165,112347;0;0,7
"2021-04-28";165,164727;0;0,7
"2021-04-29";167,287387;0;0,7
"2021-04-30";172,325787;0;0,7
"2021-05-01";172,330287;0;0,7
"2021-05-03";172,348607;0;0,7
"2021-05-04";172,35295699999998;0;0,7
"2021-05-05";172,46145699999997;0;0,7
"2021-05-06";172,47645699999995;0;0,7
"2021-05-07";172,48495699999995;0;0,7
"2021-05-10";172,49015699999995;0;0,7
"2021-05-11";172,56995699999996;0;0,7
"2021-05-12";172,58015699999996;0;0,7
"2021-05-13";172,66817699999996;0;0,7
"2021-05-14";172,71367699999996;0;0,7
"2021-05-15";172,75093699999996;0;0,7
"2021-05-16";172,75393699999995;0;0,7
"2021-05-18";172,95809699999995;0;0,7
"2021-05-19";173,08335699999995;0;0,7
"2021-05-20";173,28829699999994;0;0,7
